Brink_cl1	Brink_cl2	Brink_cl3	Brink_cl4	Brink_cl5	Brink_cl6	Brink_cl7	Brink_cl8	Brink_cl9	Brink_cl10	Brink_cl11	Brink_cl12	Brink_cl13
na	na	na	na	na	na	na	na	na	na	na	na	na
PRRX2	CDH11	MEST	TCF15	LEF1	RSPO3	HOXAAS3	SLC2A1	GM47056	VIM	MDM2	MT2	EPCAM
PEG3	FXYD6	MEOX1	MEOX1	PCDH19	IFITM1	CDX2	CRABP2	GM37746	EGFL7	CCNG1	MT1	CLDN6
SOX11	PBX1	IGFBP5	TPM1	NOTCH1	HES7	GREB1	SLC2A3	GM44578	IGFBP4	SQSTM1	MKRN1	IGFBP2
MEIS2	PEG3	FXYD6	IFITM1	FOXC2	HOXAAS3	FGF17	SOX2	GM48786	RAMP2	TRP53INP1	UTF1	SLC2A3
APOE	MEOX1	CXCL12	FBN2	FOXP1	DLL1	HOXC8	MKRN1	AC132444.6	TMSB4X	TPP1	APOE	EMB
TGFB2	FSTL1	NR2F2	SLC9A3R1	IFITM1	TBX6	OAT	HOXC8	GM48111	KDR	ATP6V0D1	DPPA5A	KRT8
VIM	IGFBP4	TCF15	LDHA	PCDH8	NRARP	SLC2A3	IRX3	GM47331	SPARC	GRN	AKAP12	KRT18
MEG3	MARCKS	PAX3	TAGLN2	TCF15	RNF213	NKX1-2	HOXAAS3	GM17555	CLIC1	APOE	SLC2A3	BEX1
GATA6	SMOC1	PHLDA1	PAX3	EFNB2	2610528A11RIK	RSPO3	ATP2B1	GM21897	CLDN5	ATP6V0B	HSP90AA1	SPINT2
SFRP1	MEIS2	NAV1	PRRX2	ALDH1A2	DLL3	HOXB5OS	CCND1	GM21750	APOE	KLF9	L1TD1	SLC2A1
RBPMS	TWIST1	NRTN	HMGA2	EPB41L3	LEF1	HOXC6	SFRP2	GM21833	CDH5	STX3	KLF2	SLC16A1
ISL1	NAV1	SOX11	EPB41L3	SLC9A3R1	HOXB5OS	FOXB1	HOXB9	GM47654	TPM4	PERP	CHCHD10	GPX2
PRRX1	GNAS	MEG3	SLC45A4	FGFR1	CITED1	FGF8	HES3	9330162G02RIK	MEST	CTSD	GPX1	TAGLN2
CRABP1	NREP	MEIS2	ADD3	EPHA4	HOXB1	LHPP	SOX3	GM21962	CTLA2A	WASHC2	ZFP42	TRH
IRX5	GM1821	PLCH1	MIF	PLIN3	PTPRZ1	BEX1	SOX1	KCNQ1OT1	CAR2	IFI30	HSPB1	SOX17
RDX	NR2F2	NEFL	FOXC2	TPM1	EOGT	HOXC9	HOXB5OS	GM37985	ARPC3	LAMP1	TDH	CD9
FN1	IGFBP5	PEG3	TPI1	MEOX1	CST3	HES7	GNAI2	GM26917	RASIP1	KLF6	ALG13	COL4A1
IRX3	REV3L	CADM1	EIF4EBP1	LFNG	LMO2	T	CCND2	GM37404	ELK3	ANKRD12	DPPA4	APELA
RDH10	PRRX2	PTN	ASNS	SYNM	PCDH19	GNAI2	FGFBP3	TTN	MSN	CSTB	MORC1	FTH1
1810058I24RIK	FLRT2	GAS1	FSTL1	PPIB	FOXB1	ACOT7	BEX1	3110070M22RIK	ECSCR	RRAGC	NANOG	CDH1
PLAT	COL26A1	TCF4	ALDOA	ADD3	LIMCH1	PTK7	HOXC9	GM38279	LMO2	SERPINE2	JARID2	FOXA2
CDH11	APOE	FBN2	FOXP1	NRARP	FRZB	HOXA9	IRX5	IL3RA	MEF2C	CD63	TBRG1	DSP
IRX1	GM49394	SIX1	GSTM5	HMGA2	SP5	LIN28A	DEK	ZBTB20	IGF1	SYCP3	SLC25A5	PTCH1
PBX1	IGF2	FSTL1	TFPI	ADGRL2	LDHA	IL17RD	APELA	SORBS2	GNG11	BTG2	EPCAM	KRT7
PEG10	FOXC1	TTC28	ALDH1A2	NOTCH2	LOR	CCND1	SCUBE2	4930432E11RIK	ITM2A	SERINC3	TRIML2	CLDN7
VAMP8	FZD2	DST	CDH11	APIP	HOXD9	SLC2A1	SEMA3A	GM26871	SH3BGRL3	MAN2B1	SOX2	FNDC3B
IGFBPL1	FOS	SHISA2	MEST	PCSK5	ETS2	RBP1	GJA1	GM8251	ACTB	ATP6AP2	RIF1	ESPN
RBM24	ITGA9	FOXD2	UNCX	SALL4	PEA15A	RARG	HOXC6	POU6F2	ESAM	CRIP2	EZR	CRB3
CSRP2	PDGFRA	RGMB	PPIB	FGF18	YPEL3	LIMCH1	MAP1B	XIRP2	RAB11A	RENBP	JADE1	VEGFA
ENO3	PRTG	EYA1	EFNB2	LAPTM4B	ACTA2	COX7A2	DTX4	MDGA2	RHOJ	JUN	TFAP2C	UPK3A
CDKN1C	UBC	FBLN1	CLU	PTPRZ1	T	HOXC10	SOX21	SOX5	CD81	ARAP2	CDH1	NECTIN2
PRDM1	PLAT	BMP3	DYNLL1	PELI2	RTN1	SP5	CHD3	RNF150	GNAI2	ASS1	STX3	GPC3
ID1	TSPAN9	CDH11	PPP1R1A	CER1	HOXC8	MKRN1	SOX13	PCDH15	SELENOP	1700007K13RIK	GSTA4	STX3
IGFBP4	ENAH	PLOD1	CALM1	GREB1L	TIMM50	MLLT3	TRIM2	PTPRT	TSPAN18	IGF2R	PMM1	CPN1
PRDX6	CTNNB1	MEOX2	HOXA5	NTN1	RFTN1	SEMA6A	ID2	GM44560	HAPLN1	CREBRF	HAT1	CALM1
ALX1	NEDD4	KLF3	HOTAIRM1	GADD45G	IL17RD	CYSTM1	ID3	FSIP2	PLVAP	DPP7	TRAP1A	PRDX1
ID3	FN1	ETS1	PSAT1	FN1	SNAI1	PSIP1	PTN	STARD9	PLXND1	NFIC	TRH	KRT19
HAND2	TCF12	LOXL2	CADM1	RIPPLY2	KITL	HOXB9	PSAT1	DLGAP1	SPTBN1	HSPA9	TPD52	CMTM8
KDR	GM24276	ANK3	TUBB2B	DLL3	GPC3	TRIM2	GBX2	SYCP1-PS1	FLT4	PLTP	TDGF1	ESRP1
ID2	TCF7L1	ITIH5	FBLN1	FOXC1	PLXNA2	HOXD9	MLLT3	ADAM34	CRIP2	AHNAK2	FBXO15	TMPRSS2
DACH1	ETS1	ISLR	H1F0	ZIC5	TNFRSF19	SP8	ACOT7	GABRB1	EMCN	CREB3L1	EPHX2	GRB7
CGNL1	TCF4	DMRT2	ZFP503	MID1IP1	HMCN1	WNT5A	HES5	GM4117	KLF7	CENPT	ALPL	BSG
BEX3	FOSB	TSPAN9	FOXD1	CITED1	DDIT4	NCAM1	CCNG1	COL1A2	ARHGAP18	CDKN1A	MTA3	PODXL
MEIS1	ABL1	PDGFRA	FDPS	GSTM5	NAAA	GTF3A	LIN28A	4933438K21RIK	FLT1	ZFP365	COL18A1	MYL3
TCEAL9	COL23A1	COL4A1	TWIST2	HOXD1	PCOLCE2	ATP2B1	SLC16A1	ONECUT2	SOX18	NR3C1	HPRT	PDIA6
MEF2C	6430573F11RIK	NR2F1	DST	RND3	HOXB4	2010111I01RIK	AKAP12	AV026068	NDUFA8	RSRP1	CKB	H2-K1
ARHGAP29	ARHGAP28	ARHGEF26	PGM5	PPP1R1A	FAM212A	ZYX	BEX4	POU2F2	CD47	CKAP2	TET1	COL4A2
CAPN6	TNS1	FLRT3	GARS	DLL1	SMC6	FZD10	EZR	GM26759	DYSF	BBC3	ARPC1B	FREM1
FZD4	EGR1	DDAH2	APIP	LAMA1	NGFR	SALL3	CELSR1	NRXN3	FLI1	DGKA	DHX16	BEX4
SLC38A4	SLC12A2	SH3BP5	PRDX1	ABCA1	ATP1A2	ATP1A2	TOX3	GM43527	COL18A1	FOXO3	IGFBP2	GLDC
