Koch_group1	Koch_group2	Koch_group3	Koch_group4	Koch_group5
na	na	na	na	na
1190005I06RIK	2500004C02RIK	1700009P17RIK	2010111I01RIK	0610040B10RIK
2610018G03RIK	2510009E07RIK	1700017B05RIK	2610035D17RIK	1300002E11RIK
3110021N24RIK	5430417L22RIK	3010026O09RIK	2610306M01RIK	1600002K03RIK
6330419J24RIK	6330403K07RIK	3425401B19RIK	3632451O06RIK	2300009A05RIK
AI413582	6430573F11RIK	5330426P16RIK	5730457N03RIK	2510002D24RIK
AW551984	6530402F18RIK	5730508B09RIK	9930014A18RIK	2610035F20RIK
ADAM12	ACTA2	6430411K18RIK	A730008H23RIK	2810429I04RIK
ADAMTS6	ACTC1	AADAT	AA465934	2900026A02RIK
ADAMTSL2	ADAM19	ABCB10	AARD	4833422C13RIK
AKR1B3	ADAMTS3	ABHD11OS	ABCA2	5730408K05RIK
ANGPTL4	ADCY3	ACP5	ABLIM1	6430562O15RIK
ANTXR1	AGER	ACSS1	ACOT7	9230105E05RIK
APLNR	AGPAT9	ADD2	ADAMTS19	9330151L19RIK
ARAP1	AK1	AFF2	AES	AI414108
ARC	ALKBH7	AFF3	AGPAT3	AW146154
ARL4D	AMOT	AGTPBP1	AIG1	ABCC4
ATP1A2	ANGPT1	AIRN	ALCAM	ACOT1
AVPR1B	ANXA6	ALAS2	ALDH1B1	ADAM23
B3GNT7	ARFGAP3	ALDH1A2	ALDH5A1	ADARB2
B4GALT7	ARG1	ALX4	APBA2	AHNAK
BC089491	ARHGAP19	ANK1	APLP1	AJAP1
BLNK	ARHGAP28	ANPEP	ARRDC1	AKAP12
CACNG4	ARHGAP31	ANXA11	ATP11A	ALDH1L2
CAR3	ARMC7	AP1G2	ATP7B	ALX3
CD40	B3GNT2	APCDD1	B230323A14RIK	APELA
CDC42EP5	BLVRA	AQP3	B930003M22RIK	APOBEC3
CDH1	BTG2	ARHGAP23	BCAR3	ARHGEF26
CEP70	BVES	ARHGDIB	BDH1	ARL4A
CHST7	C430049B03RIK	ARHGEF15	BHLHE40	ARMC10
CLDN7	CACNA2D1	ARID5B	C030037D09RIK	ASPHD2
CNRIP1	CALD1	ARL4C	CAMKV	ASXL3
COL13A1	CASP7	ASB4	CAR12	ATP6V0E2
CPA6	CBR3	ATP6V1G2	CCDC136	B3GALNT1
D17H6S53E	CCDC80	ATP7A	CCDC171	BC064078
DDIT4	CCK	B3GNT9	CCDC88C	BC068157
DHRS3	CCPG1OS	B4GALT6	CCL25	BACH2
DKK1	CDH3	BC026585	CCND1	BEGAIN
DNAJC12	CEACAM1	BAMBI	CCNJL	BEX1
DNAJC22	CHST2	BEND4	CD1D1	BEX4
DPPA3	CITED1	BGN	CD83	BICD1
EFCAB2	CLMP	BLVRB	CDH4	BOC
ENDOG	CLU	BMP2	CDHR1	BOK
EPHA1	CMKLR1	BMP2K	CDON	BRSK2
ETS2	CNKSR2	BMP4	CDX2	C130036L24RIK
FABP7	CNN2	CACNA1G	CDX4	C1GALT1C1
FGF15	CNR1	CAPN5	CERK	C1QL1
FGF3	CNTLN	CAPN6	CHRNA7	C630043F03RIK
FGF4	COL1A2	CAR2	CHST11	CADM4
FGF8	COL26A1	CAR4	CIART	CAMSAP3
FSTL4	COL4A2	CCDC102A	CLDN4	CCDC160
GABRB2	CPA2	CD248	CLDN6	CCDC181
GAD1	CRABP1	CD34	CLDN9	CCDC92
GAD1OS	CRIM1	CD38	CLIP4	CD24A
GATSL3	CXCR4	CD44	COL4A6	CD47
GDF11	CYP27A1	CD93	COMTD1	CDH6
GK5	CYR61	CDC25B	CRABP2	CELSR1
GM12669	D430019H16RIK	CDC42EP1	CRMP1	CELSR2
GM19557	DAAM2	CDH5	CRYL1	CERCAM
GM3435	DACH1	CEP85L	CTNNAL1	CERS4
GM5901	DACT1	CHCHD10	CXX1C	CHAC1
GM7367	DDX58	CITED4	CXXC5	CHD3
GNAL	DLC1	CLDN5	CYB561D2	CHRDL1
GPC3	DLL1	COL1A1	CYFIP2	CHST15
GSTK1	DLL3	COL23A1	CYP26A1	CIB1
GSTM7	DNM1	COL4A1	CYSTM1	CLDN3
GUCY1A2	DOCK8	COL9A1	D230030E09RIK	CMTM8
H2-Q10	DOPEY2	COPG2	DCP1B	CNTFR
HAS2	DRAXIN	COX6B2	DLGAP2	COL18A1
HBB-B1	EBF2	CPEB4	DNAJB3	COL2A1
HINT3	EFEMP2	CPM	DPYSL4	CORO2B
HOXC11	EIF4E3	CPNE5	ELAVL2	CPN1
HOXD11	ELK3	CPOX	EME2	CPNE2
HOXD12	ELOVL1	CREB3L2	ENC1	CRNDE
IER3	EMILIN3	CREG1	EPHA5	CYB561
IFITM5	EOGT	CRIP1	ERC2	D930048N14RIK
INSIG1	ETS1	CSF2RB	EZR	DAB1
ISLR	ETV2	CSF2RB2	FAH	DACT2
JPH3	EXOC6B	CTHRC1	FAM163B	DCLK1
LAMTOR2	FAM168A	CTLA2A	FAM171B	DCLK2
LGALSL	FAM212A	CXCL12	FAM181B	DDR1
LIMCH1	FAM89A	D030028A08RIK	FAM222A	DEDD2
LIPG	FGD5	DACT3	FAM83G	DLX5
LMO7	FGF9	DCAF12L1	FAM98C	DOCK9
LPAR1	FKBP10	DES	FAT3	DTX3L
LRRC55	FLRT2	DHRS11	FBLN2	DTX4
LRRN1	FN1	DHRS7	FBXO44	DUSP14
LTBR	FOXC1	DLK1	FGF17	E2F2
